Date,Weight
2014-12-11,148.2
2014-12-16,144.6
2014-12-17,144.8
2015-07-14,144.8
2016-03-22,144.8
2016-03-23,147.2
2016-03-26,146.4
2016-03-27,146.0
2016-03-28,145.8
2016-03-29,145.3
2016-03-30,145.3
2016-04-05,144.5
2016-07-27,142.3
2016-07-31,139.5
2016-08-01,138.2
2016-08-02,139.6
2016-08-03,140.3
2016-08-11,137.6
2016-10-23,137.6
2017-10-08,131.1
2018-05-28,131.1
2019-06-10,131.1
2019-11-20,147.0
2019-11-21,147.7
2019-11-22,147.7
2019-11-27,146.8
2019-11-28,146.2
2019-11-29,146.2
2019-12-01,147.0
2019-12-02,147.0
2019-12-04,147.1
2019-12-11,149.8
2019-12-12,149.0
2019-12-14,147.3
2019-12-15,146.8
2019-12-16,146.8
2019-12-17,145.3
2019-12-18,145.9
2019-12-19,146.1
2019-12-20,145.3
2019-12-23,147.1
2019-12-29,147.3
2020-01-01,145.9
2020-01-08,151.2
2020-01-13,146.8
2020-01-14,145.4
2020-01-15,143.8
2020-01-16,143.4
2020-01-17,142.2
2020-01-18,142.8
2020-01-19,142.8
2020-01-20,142.2
2020-01-21,141.4
2020-01-22,140.9
2020-01-23,140.5
2020-01-24,141.0
2020-01-25,140.5
2020-01-26,140.5
2020-01-27,140.7
2020-01-28,140.2
2020-01-29,139.8
2020-01-30,139.8
2020-01-31,138.4
2020-02-01,138.6
2020-02-02,139.0
2020-02-03,140.9
2020-02-04,139.8
2020-02-05,138.5
2020-02-06,137.0
2020-02-07,135.7
2020-02-08,135.0
2020-02-09,134.2
2020-02-10,134.4
2020-02-11,135.3
2020-02-12,135.3
2020-02-13,134.5
2020-02-14,133.7
2020-02-15,132.9
2020-02-16,132.1
2020-02-17,133.1
2020-02-18,133.5
2020-02-19,134.2
2020-02-20,134.7
2020-02-21,134.3
2020-02-22,132.5
2020-02-23,132.1
2020-02-24,134.0
2020-02-25,132.9
2020-02-26,132.9
2020-02-27,131.2
2020-02-28,131.2
2020-03-02,130.4
2020-03-03,129.2
2020-03-04,130.4
2020-03-07,131.8
2020-03-08,131.8
2020-03-09,131.9
2020-03-11,131.5
2020-03-12,132.1
2020-03-14,130.2
2020-03-15,130.9
2020-03-18,131.1
2020-03-19,131.4
2020-03-20,130.7
2020-03-23,133.2
2020-03-26,132.7
2020-03-30,133.8
2020-04-01,132.2
2020-04-02,132.2
2020-04-03,132.0
2020-04-04,133.2
2020-04-06,133.8
2020-04-07,132.8
2020-04-08,131.5
2020-04-09,131.5
2020-04-10,131.4
2020-04-12,130.5
2020-04-14,130.5
2020-04-15,129.5
2020-04-16,128.5
2020-04-17,129.3
2020-04-18,129.3
2020-04-19,130.7
2020-04-22,131.2
2020-04-23,129.9
2020-04-27,131.4
2020-04-29,130.0
2020-05-02,128.6
2020-05-03,129.8
2020-05-04,131.6
2020-05-05,129.3
2020-05-06,128.6
2020-05-07,127.6
2020-05-08,129.8
2020-05-09,127.7
2020-05-10,129.1
2020-05-11,130.3
2020-05-12,130.0
2020-05-14,130.0
2020-05-15,129.0
2020-05-16,129.4
2020-05-17,128.6
2020-05-18,130.9
2020-05-19,129.3
2020-05-20,129.4
2020-05-21,128.9
2020-05-22,128.9
2020-06-04,131.6
2021-04-19,126.8
2021-04-20,125.5
2021-04-21,123.2
2021-04-22,123.0
2021-04-23,122.2
2021-04-24,121.2
2021-04-26,122.2
2021-04-30,121.8
2021-05-04,121.0
2021-05-05,120.1
2021-05-14,122.0
2021-05-15,122.0
2021-05-17,121.5
2021-07-01,118.8
2021-07-02,118.0
2021-07-03,118.0
2021-07-04,117.8
2021-07-10,117.0
2021-08-11,115.7
2021-08-12,117.0
2021-08-13,116.8
2021-08-14,117.4
2021-08-15,117.4
2021-08-16,116.4
2021-08-17,115.3
2021-08-18,114.0
2021-08-19,113.3
2021-08-20,114.0
2021-08-21,113.0
2021-08-22,114.5
2021-08-23,116.8
2021-08-24,115.8
2021-08-25,114.5
2021-08-26,115.1
2021-08-27,113.4
2021-08-28,113.4
2021-08-29,114.5
2021-08-30,115.4
2021-08-31,115.1
2021-09-01,113.2
2021-09-02,112.8
2021-09-03,112.8
2021-09-04,112.8
2021-09-05,114.1
2021-09-06,113.5
2021-09-07,112.1
2021-09-08,111.7
2021-09-09,113.7
2021-09-10,113.7
2021-09-11,112.2
2021-09-12,112.2
2021-09-13,114.7
2021-09-14,113.1
2021-09-15,113.3
2021-09-16,113.3
2021-09-17,112.0
2021-09-18,112.0
2021-09-19,112.8
2021-09-20,111.9
2021-09-22,112.7
2021-09-23,111.8
2021-09-24,113.9
2021-09-27,114.3
2021-09-28,116.7
2021-09-29,114.6
2021-09-30,113.8
2021-10-01,113.3
2021-10-02,111.3
2021-10-03,112.0
2021-10-06,111.4
2022-01-01,118.6
2022-01-06,120.5
2022-01-07,118.5
2022-01-08,118.5
2022-01-09,118.5
2022-01-10,117.8
2022-01-11,117.8
2022-01-13,116.5
2022-01-15,115.5
2022-01-16,115.1
2022-01-17,117.4
2022-01-18,116.4
2022-01-21,113.7
2022-05-19,115.5
2022-05-20,114.5
2022-05-21,114.1
2022-06-07,115.5
2022-06-08,114.2
2022-06-17,114.5
2022-06-21,116.0
2022-06-23,113.8
2022-06-24,115.0
2022-10-04,119.2
2023-10-11,133.0
2024-04-02,130.2
2024-08-07,135.8
2024-08-14,131.4
2024-08-16,131.3
2024-09-22,135.0
2024-10-06,129.0
2024-10-08,128.5
2024-10-09,127.9
2024-10-12,130.1
2024-10-13,128.0
2024-10-21,127.4
2024-10-22,126.6
2024-10-23,125.1
2024-10-30,128.1
2024-10-31,126.8
2024-11-01,125.0
2024-11-02,124.9
2024-12-09,133.0
2025-01-13,136.7
2025-01-16,132.5
2025-01-17,131.4
2025-01-18,131.1
2025-01-24,129.5
2025-01-25,128.3
2025-01-28,128.8
2025-02-03,127.7
2025-02-04,126.4
2025-02-10,126.5
2025-02-13,123.8
2025-07-07,136.3
2025-12-15,148.9
2025-12-17,146.1
2025-12-20,146.0
2025-12-30,147.4
2026-01-06,148.3
2026-01-08,147.1
2026-01-09,145.9
2026-01-10,145.7
2026-01-12,147.1
2026-01-13,146.3
2026-01-14,145.5
2026-01-15,143.7
2026-01-16,143.2
2026-01-17,143.3
2026-01-18,142.8
2026-01-19,142.4
2026-01-20,143.3
2026-01-21,142.9
2026-01-22,142.6
2026-01-24,142.3
2026-01-25,142.3
2026-01-26,141.5
2026-01-27,140.6
2026-01-28,139.4
2026-01-29,139.5
2026-01-30,138.9
2026-02-01,140.2
2026-02-03,138.3
2026-02-04,138.5
2026-02-05,137.8
2026-02-06,137.4
2026-02-08,139.9
2026-02-10,136.0
2026-02-11,135.9
2026-02-12,135.7
2026-02-18,137.1
2026-02-20,135.5
2026-02-21,136.4
2026-02-25,135.9
2026-03-17,144.1
2026-03-20,139.2
2026-03-31,137.6
2026-04-01,137.0
2026-04-16,133.9
2026-04-26,132.9
2026-04-27,132.3
2026-04-29,131.9
2026-05-01,131.6
2026-05-02,131.7
2026-05-05,131.7
2026-05-06,131.1
2026-05-11,131.6
2026-05-13,130.0
2026-05-19,130.1

